"name","address","category"
"Oasis Spa Pattaya","322 Moo 12 Chateau Dale Tappraya Road, Banglamung Pattaya, Chonburi","spa_and_massage"
"Spalation Bangkok","22/5 Soi Sukhumvit 23, Khlong Toei Nuea, Watthana, Bangkok, Thailand 10110","spa_and_massage"
"Erb Bliss Room","2nd floor, 999, Gaysorn Village, Ploenchit Road, Lumpini, Khet Pathumwan, Bangkok, 10330","spa_and_massage"
"Nature Thai Massage (Siam Square)","412/11-12 Siam Square Soi 6, Khwaeng Pathum Wan, Khet Pathum Wan, Bangkok 10330","spa_and_massage"
"Diora Luxe Asoke - Luxury Spa","255 Asoke Montri Rd., Khlong Toei Nuea, Watthana, Bangkok 10110","spa_and_massage"
"Stretch me by Let's Relax (ICONSIAM Branch)","5th Floor ICONSIAM, 299 Charoen Nakhon Rd, Khwaeng Khlong Ton Sai, Khet Khlong San, Bangkok 10600","spa_and_massage"
"White Wood Green Spa & Wellness","53 Ekkamai 12 Klongton Nuer, Wattana Bangkok 10110","spa_and_massage"
"Urban Oasis Spa","59 Soi Ekkamai 21, Khlong Tan Nuea, Wattana, Bangkok 10110","spa_and_massage"
"Orchid Spa & Massage","18/13 Sukhumvit Road Soi 22, Khlong Toei, Khlong Toei, Bangkok Thailand 10110","spa_and_massage"
"Oasis Spa Lanna","4 Samlan Road, Prasing, Muang, Chiang Mai","spa_and_massage"
"Perfect Figure Slimming & Spa","P K Mansion (1 floor), Lat Phrao 35/2 Alley, Khwaeng Samsen Nok, Huai Khwang, Bangkok 10310","spa_and_massage"
"Bangkok Float Center","1110/10 2nd Floor at Hope Land Executive and Residence Hotel Sukhumvit 46/1, Phrakanong, Klong Toei, Bangkok 10110","spa_and_massage"
"Vonae Beauty","L3,305, Times Square Bangkok, 246 Sukhumvit Rd, Klongton, Bangkok 10110","spa_and_massage"
"Yan Spa by X2 Vibe Bangkok Sukhumvit Hotel","X2 Vibe Bangkok Sukhumvit Hotel, 10,20 Sukhumvit 52 (BTS Onnut), Phra khanong, Klongtoey, Bangkok 10260","spa_and_massage"
"NAGARA Clinic","A square 120/2, Soi Sukhumvit 26, Khlong Tan, Klongtoey Bangkok 10110","spa_and_massage"
"Ari Relax Thai Massage Cafe","32 Phahon Yothin 7 Alley, Samsen Nai, Phaya Thai, Bangkok 10400","spa_and_massage"
"Mandarin Clinic Rama IV","3243 Rama IV Rd, Khlong Tan, Khlong Toei, Bangkok 10110","spa_and_massage"
