"name","address","category"
"Koravix Healthy Hair","204/24 Soi  Sukhumvit 77 On Nut 1, Phra Khanong Nuea, Watthana, Bangkok 10260","barbershop"
"ANNEX ReMAKE 106 Hair Studio","39/14-16 Silom 6 Silom Rd, Bangkok, Thailand","barbershop"
"Sleep Salon & Nails (Ari)","490/13 Paholyothin Rd., Samsen Nai, Phaya Thai 10400","barbershop"
"Forever18Lounge","76/7-8 Nanglinchi Rd., Sathorn Bangkok, Thailand 10120","barbershop"
"31 Nail Salon & Spa","25/2 Soi Sukhumvit 31, Sukhumvit Rd., Khlong Toei Nuea, Watthana 10110","barbershop"
"Plus 31 Hair & Beauty Atelier","58 Soi Sukhumvit 31-4 Khwaeng Khlong Tan Nuea, Khet Watthana,  Bangkok, Thailand 10110","barbershop"
"Green Leaf Spa by Cascadeclub","Cascade Club Level6, The Ascott Bangkok Sathorn 7 South Sathorn Road, Yannawa, Sathorn Bangkok 10120","barbershop"
"akru Hair Salon (Mercury Ville Branch)","540 Mercury Tower, 2nd floor, room no. 203, Phloen Chit Rd, Khwaeng Lumphini, Khet Pathum Wan, Krung Thep Maha Nakhon 10330","barbershop"
"AKI ENDO Salon","5/9 Metropole Residence 1st floor, soi phrom si 1,Sukhumvit39,Klontan nua,Wattana,Bangkok,10110","barbershop"
"Le Salon De Beauté By Jenny","Summer Hill , 2nd Floor. 1106 Sukhumvit road, Phra Khanong, Klong toey, 10110 Bangkok","barbershop"
"The Esquire Barber Club (MRT Rama9)","MRT Rama9 Unit40 Metro Mall Rama , 1 Ratchadaphisek Rd, Din Daeng, Din Daeng Bangkok 10400","barbershop"
"Salon23","Athena23, 5th Floor, N0.23, Chidlom Rd,, Pathumwan, Bangkok 10330","barbershop"
"[email protected]","412/19 Siam Square Soi 6, Rama I Rd, Lumpini, Pathum Wan, Bangkok 10330","barbershop"
"akru Hair Salon (Interchange 21 Asoke Branch)","Interchange 21 399 Sukhumvit Road, North Klongtoey, Wattana, Bangkok 10110","barbershop"
"Renewme Skin Clinic","Hyatt Regency Bangkok Sukhumvit 2F  Sukhumvit Soi 13 Rd, Khlong Toei Nuea, Watthana, Bangkok 10110","barbershop"
"Pause Facial Spa (Ladprao 71 Branch)","148 Nakniwat Road, Ladprao 71, Bangkok, 10230","barbershop"
"The Gallery Tiara","Located in Selected: Thonglor and Central Bangna","barbershop"
"Hair Class Salon","125 Assumption Road, Soi 11, Bang Phai Subdistrict, Bang Khae District, Bangkok 10160","barbershop"
