"name","address","category"
"Millow Beauty Lounge","Maneeya Center Building, M Floor, 518/5 Ploenchit Road, Lumpini  Pathumwan Bangkok 10330","hair_removal"
"TAZiTA Spa and Art Design","CENTRAL at CentralWorld, 7th Floor, 999/9 Rama I Rd, Khwaeng Pathum Wan, Khet Pathum Wan, Bangkok 10330","hair_removal"
"De Beaute Nail Bar and Spa","936/1 Soi Sukhumvit 55 Thonglor Rd, 936/1  Khlong Tan Nuea, Watthana, Bangkok 10110","hair_removal"
"Nails Now","68/286 Ladprao 122 Phlapphla, Wang Thonglang, Bangkok 10310","hair_removal"
"shu.bkk","58C Avion village , Soi Ladkrabang46/1, Ladkrabang Rd., Ladkrabang BKK 10520","hair_removal"
"Benefit Cosmetics Brow Bar (The Mall Bangkapi)","3522 Lat Phrao Rd, Khwaeng Khlong Chan, Khet Bang Kapi, Krung Thep Maha Nakhon 10240","hair_removal"
"Wonder Wax Studio Bangkok Sukhumvit","1558/6 Diamond Sukhumvit Condo, (BTS Onnut), Khlong Toei, Bangkok 10110","hair_removal"
"Mon Nail Spa & Salon","E 103/1 floor 1 The Paseo Town, Ramkhamhaeng 127/3 Rd, Bangkok, Thailand 10240","hair_removal"
"Madame Nail","90 Soi Sukhumvit 101/1, Bangna, Bangna, BKK 10260","hair_removal"
"Niche Salon Bangkok","All Season place - CRC Tower 3rd Floor, 87 Witthayu Rd, Lumphini, Pathum Wan District, Bangkok 10330","hair_removal"
"Ruengpayom Wax & Spa Massage","41/49​ Soi.Bangkrang48 M.3 Bangkrua-Sainoi str.​ T. Bang​Krang​ Mueang​ Nonthaburi​ 11000","hair_removal"
"Baramee Beauty","51/69 ม.5 ถ.กัลปพฤกษ์ Bangkok, Thailand","hair_removal"
"Socialclub95 Nails & Spa","99 Lat Ya Road, Somdet Chao Phraya, Khlong San, Bangkok 10600","hair_removal"
"Vareena Spa at The Westin Grande Sukhumvit Hotel","8th floor, The Westin Grande Sukhumvit Hotel, Sukhumvit, Bangkok, Thailand","hair_removal"
"Apex Medical Center","28 Branches in THAILAND","hair_removal"
"De Flora Spa","216 Raj-U-Thid 200 Pee Road, Patong, Kathu, Ban Patong, Phuket, 83150Thailand","hair_removal"
"Altip","515 sukhumwit 101 Road soi Punnavithi15 Bangchak Prakhanong 10260","hair_removal"
"TubTim Salon","39 Behind Restaurant Cocotte, Boulevard Phrompong, Sukhumwit 39, Sukhumwit Road, Wattana, Bangkok 10110","hair_removal"
"Proud Professional Lash","146/11  Sukhumvit 71 Road, Soi. PridiBanomyong 10, PhraKhanong Nuea, Wattana, Bangkok 10110","hair_removal"
"More Beaute Nail Spa","3rd Floor, Chamchuri Square Building, Phayathai Road, Pathumwan, Bangkok 10330","hair_removal"
"LIZ Bangkok","W District Project (at Ganesha Circle), BTS Phra Khanong, Exit 3 No. 1599 Sukhumvit Road, Prakanong Nuea Sub-district, Wattana District, Bangkok 10110","hair_removal"
"Noelle Beauty Point (Sukhumvit 71  Branch)","239-241 opposite Soi Pridi Banomyong 14, Phra Khanong Nuea, Watthana, Bangkok 10110","hair_removal"
"THE CRAFTSMAN BARBER","466/30 Phaholyothin rd. ,Phayathai , Bangkok 10400","hair_removal"
"About Color Nails & Spa","The Shelter,  Chok Chai 4 Rd, Saphansong, Wang Thonglang, Bangkok 10310","hair_removal"
"BONITO Nails & Lashes","66 Rama 9 Road , Soi 41 (next to The Nine) Suan Luang Bangkok 10250","hair_removal"
"Rainbow Nails Bangna","58/1 Bizzo Bangna,  Bang Na, Bangkok 10260","hair_removal"
"Kookerly Lash","27/1 Sukhumvit 33, Khlong Toei Nuea, Watthana, Bangkok 10110","hair_removal"
"New York Nails by Napass","111/11 Phahonyothin Rd. Samsennai, Phaya Thai, Bangkok 10400","hair_removal"
"Bellelumiere Tokyo","The Master @ Udom Suk, 954/3 Sukhumvit 103 Rd, Khwaeng Bang Na, Khet Bang Na, Krung Thep Maha Nakhon 10260","hair_removal"
"Jittrawan Wellness Spa","19/19 Moo.1 Srinakarin Rd. Bangkaew,Bangplee, Samut Prakan 10540","hair_removal"
"The Signature Clinic","31 The Portico 4th Floor, Soi Langsuan, Lumphini, Pathum Wan District, Bangkok 10330","hair_removal"
"Dr.Pong Clinic Skin","208 Chan Road, Thung Wat Don, Sathon, Bangkok 10120","hair_removal"
"Chic Your Nails","491/34 Silom Plaza,  2nd Floor , Silom Road, Silom Sub District, Bangrak , Bangkok 10500","hair_removal"
"Kreesana Beauty Massage","1667 Phra Khanong Nuae, Watthana, Bangkok 10110","hair_removal"
"WARU","1/4 Soi Sri Nakharin 57, Nong Bon, Prawet, Bangkok 10250","hair_removal"
"Massira Wellness & Spa","3rd Floor., Ramada Plaza Menam Riverside Hotel 2074 Charoenkrung Road, Wat Prayakrai, Bangkorlaem, Bangkok 10120 Thailand","hair_removal"
"NAILAND Salon & Spa","77/33 Pracharat 26, Suan Yai, Nonthaburi 11000","hair_removal"
"Benefit Cosmetics Brow Bar (ZEN @ Central World)","4,4/1-4/2,4/4 Ratchadamri Rd, Khwaeng Pathum Wan, Khet Pathum Wan, Krung Thep Maha Nakhon 10330","hair_removal"
"Sabai Corner Spa","35/1-2 Soi Sathorn 9, South Sathorn Road, Yannawa, Sathorn, Bangkok 10120","hair_removal"
"Le Vince Clinic","697, Soi Thap Suwan, Asok-Dindaeng Rd, Dindaeng, Din Daeng, Bangkok 10400","hair_removal"
"Skin Dezign Clinic","120/1 Room404,  2floor index living mall Rama2 , rama2 Rd, Samae Dam, Bang Khun Thian  Bangkok 10150","hair_removal"
"K-IPL Clinic","54 Lat Phrao Rd, Chom Phon, Chatuchak, Bangkok 10900","hair_removal"
"Eyelash Family","Paradise Park Shopping Center, Nong Bon, Prawet, Bangkok 10250","hair_removal"
"Palette Nail Boutique","1-1/1 Soi Sukhumvit 24 Sukhumvit Klongton, กรุงเทพมหานคร 10110","hair_removal"
"Blush Nails & Beauty","3/115 Soi Sukhumvit105, Lasalle Rd,  Bang Na, Bangna, Bangkok 10260","hair_removal"
"Calyssa Clinic","Bangna Trad Bang Kaeo, Bang Phli District, Samut Prakan 10540","hair_removal"
